ObjectId,service_date,line,estimated_boardings
199,2020/07/02 04:00:00+00,Framingham/Worcester,201
200,2020/07/02 04:00:00+00,Franklin/Foxboro,836
201,2020/07/21 04:00:00+00,Greenbush,367
202,2020/07/21 04:00:00+00,Fairmount,409.5
203,2020/07/22 04:00:00+00,Providence/Stoughton,2939
204,2020/07/22 04:00:00+00,Newburyport/Rockport,1394.5
205,2020/07/22 04:00:00+00,Framingham/Worcester,1447.5
206,2020/07/22 04:00:00+00,Franklin/Foxboro,1343
207,2020/07/22 04:00:00+00,Middleborough/Lakeville,1024
208,2020/07/22 04:00:00+00,Lowell,838
209,2020/07/22 04:00:00+00,Haverhill,642
210,2020/07/22 04:00:00+00,Kingston,820
211,2020/07/22 04:00:00+00,Needham,596.5
212,2020/07/22 04:00:00+00,Fitchburg,536
213,2020/07/22 04:00:00+00,Greenbush,317
214,2020/07/22 04:00:00+00,Fairmount,411.5
215,2020/07/23 04:00:00+00,Providence/Stoughton,3186
216,2020/07/23 04:00:00+00,Newburyport/Rockport,1366.5
217,2020/07/23 04:00:00+00,Framingham/Worcester,1506
218,2020/07/23 04:00:00+00,Franklin/Foxboro,1417
219,2020/07/23 04:00:00+00,Middleborough/Lakeville,963
220,2020/07/23 04:00:00+00,Lowell,842.5
221,2020/07/23 04:00:00+00,Haverhill,655
222,2020/07/23 04:00:00+00,Kingston,642
223,2020/07/23 04:00:00+00,Needham,656.5
224,2020/07/23 04:00:00+00,Fitchburg,610
225,2020/07/23 04:00:00+00,Greenbush,295.5
226,2020/07/23 04:00:00+00,Fairmount,443.5
227,2020/07/24 04:00:00+00,Providence/Stoughton,2883
228,2020/07/24 04:00:00+00,Newburyport/Rockport,1451.5
229,2020/07/24 04:00:00+00,Framingham/Worcester,1586
230,2020/07/24 04:00:00+00,Franklin/Foxboro,1326.5
231,2020/07/24 04:00:00+00,Middleborough/Lakeville,830
232,2020/07/24 04:00:00+00,Lowell,824
233,2020/07/24 04:00:00+00,Haverhill,573
234,2020/07/24 04:00:00+00,Kingston,677
235,2020/07/24 04:00:00+00,Needham,584
236,2020/07/24 04:00:00+00,Fitchburg,524
237,2020/07/24 04:00:00+00,Greenbush,297
238,2020/07/24 04:00:00+00,Fairmount,411.5
239,2020/07/27 04:00:00+00,Providence/Stoughton,2767
240,2020/07/27 04:00:00+00,Newburyport/Rockport,1379.5
241,2020/07/27 04:00:00+00,Framingham/Worcester,1443
242,2020/07/27 04:00:00+00,Franklin/Foxboro,1275.5
243,2020/07/27 04:00:00+00,Middleborough/Lakeville,862.5
244,2020/07/27 04:00:00+00,Lowell,920
245,2020/07/27 04:00:00+00,Haverhill,685
246,2020/07/27 04:00:00+00,Kingston,617
247,2020/07/27 04:00:00+00,Needham,654
248,2020/07/27 04:00:00+00,Fitchburg,575
249,2020/07/27 04:00:00+00,Greenbush,294
250,2020/07/27 04:00:00+00,Fairmount,345.5
251,2020/08/03 04:00:00+00,Framingham/Worcester,1496.5
252,2020/08/03 04:00:00+00,Franklin/Foxboro,1453
253,2020/08/03 04:00:00+00,Middleborough/Lakeville,925.5
254,2020/08/03 04:00:00+00,Lowell,921
255,2020/08/03 04:00:00+00,Haverhill,640
256,2020/08/03 04:00:00+00,Kingston,656.5
257,2020/08/03 04:00:00+00,Needham,659
258,2020/08/03 04:00:00+00,Fitchburg,617
